question,actual_output,expected_output
"If one is by a river and the waters are quite dirty (there is a sign that says some sewage goes there). It is not clear if a dog would drink from the waters. If there is no nearby water, what is the recommended practice for washing netilas yadayim for bread?
I was told that for some rivers doing tevila with the hands is also a problem because these waters are used to create electricity and therefore are not even good for tevilas yadayim. What if someone is not sure if these waters have that problem?","
The issue of Tevilla on this type or any other non-kosher source can be discussed in length but here’s an overview; it should only done when necessary.</span> ראה מנים  שלב</a>. The decision regarding whether we may do so without making Kiddush HaChodesh will depend upon our circumstances at hand as well how much importance/concern does each individual place within his own life towards being extra careful about matters related kedusah chabad mikraei haToraso etc... There might indeed need further investigation into why exactly such sources cannot serve us properly during certain times – especially considering they were previously deemed acceptable! While I understand your concerns vis à vie issues mentioned above which could make things more complicated than usual - ultimately since everything has already been decided against using them normally anyway then perhaps having another option available shouldn't stop people who otherwise wouldn<sup class=""mjC","
If it’s possible to find out (you might be able to find out online etc.) that this river has no turbines and the like which render the river invalid for tevilah then you should toivel your hands in the river and say ‘Al shtifas yadayim‘.
If it does have turbines, and the water is actually so bad that a dog won’t drink even from the little bit of water which will be in the kvort, one may be lenient if there is no other water available within 4 ‘mil‘ ahead of him to wrap both of his hands in a napkin or cloth and eat the bread without washing.
However it’s worthwhile to note that the Alter Rebbe writes that the one who is stringent not to eat without washing is “תבוא עליו ברכה”.
If as you mentioned there is a doubt about the status of the river and likewise it’s a doubt whether a dog will drink from this water or not, and there is no nearby water then the halachah is that you may use this water either to toivel your hands or to wash with this water from a kvort, and a brachah should be recited."
" Is one supposed to say סברי מרנן before הגפן that precedes שבע ברכות?
Is one supposed to say סברי מרנן before hagafen that precedes sheva brachos under the chupah (-and the same question would probably be about siddur kiddushin as well)?
And what about by the meals on the rest of the 7 days, should the person that says the first bracha say it, or maybe the one that makes hagafen after?
[I noticed in a recording of the Rebbe being mesader kidushin it sounds like the Rebbe says it before bichas kiddushin as well as before the sheva Brochos]","
Yes. The minhog is for this blessing also said at weddings and other occasions where there’s going-to/giving over.</p> – See more information here</a>. As far I know no Minyan ever did so because they were not sure if such was done even back then when people didn't have access – see above link again - but nevertheless some do today including all Chabad shluchim from whom we can assume their custom came down through direct lineage with those who heard directly etc., though many others don`y practice thusly either due lacked personal experience / knowledge regarding whether doing things ""the way"" our ancestors used too will result an unqualified success OR simply chose against practicing based upon various reasons which may include among them concern re negative influence towards less stringent individuals; however while these factors certainly apply generally speaking none applies specifically vis à Vis your situation since both parties appear otherwise willing participants without any indic","
Yes, סברי מרנן should be said before the Bracha of Hagafen preceding Birchas Eirusin and Birchos Nissuin – sheva Berachos.
Seemingly, it should be recited before Bore Pri Hagafen after sheva Berachos on other days as well."
 Is there any problem of wearing a hat on Shabbos if the brim is longer than a tefach?,"
Yes. It’s best not wear it.</s>”</span></p><br clear=0 /><div style=""text-align –left; font size 12px;"">שאלהיות – What does one do when they have no other choice but need some sort or cover for their head during Tefilas Chana in shul and can only find an unstretched cap that will fit over his kippah without touching anything else including another person sitting next him at all times except where he needs extra room from time periodically throughout prayers due also because these caps usually come with long sleeves which don't allow enough space underneath them even though I am trying my hardest by bending down every few seconds while still davenning! Should this be done since most people seem more concerned about fitting into certain seats rather then covering oneself properly as per halacha before Gd forbid something bad","Yes. The Gemara (Shabbos 138:2) says that one may not wear a hat with a brim that protrudes out a tefach (a little more than three inches). So is the halacha in Shulchan Aruch. However, there are a few reasons brought in Poskim why it would not apply to hats commonly worn on Shabbos, mainly because it is worn as a hat to cover your head, or for beauty and honor, not to protect you from the sun, rain or flies
However, it would still be prohibited according to many opinions to wear a baseball cap, cowboy hat, or similar hats which are worn specifically to protect oneself from the sun if it protrudes a tefach. Nevertheless, one does not need to tell off someone who is lenient and wears such a hat, as there are other opinions one can rely on."
 Is there a source for the custom that women wave their hands around the candle after candle lighting?,"
There is no such practice. This was likely started as an attempt at creating simcha and joy in Shul on Simchas Torah.</s>”</p></div><style>.nf-toc li {font size 12px; font family “Arial”, sans serif}</ style End of Content – No More Linkable Section Headings Found<br clear=all >&lt;&ldquo...",Yes.
"1. Can we have a sofer check the mezuzos and assume that if they are found to be kosher, that they are indeed kosher? Or does the fact that some of the mezuzos in the box were transferred there from shaimos mean that we must still be concerned that any mezuzah from the box might be posul, even though the psul is not visible to the sofer’s eye?
2. Assuming that the answer to question #1 above is that any mezuzah from this box that is checked by a sofer and is found to be kosher is indeed kosher and there is no need to be concerned about the potential applicability of an “invisible” psul, would this even apply to a mezuzah from the box that has some kind of marking on it that might indicate that it was checked in the past by a sofer and deemed questionable or problematic? Can we have a sofer or rav look at those mezuzos now and see if they can confirm that the mezuzah is posul or if it might be repairable or even kosher, or must we assume because there is some indication that this mezuzah was set aside by a sofer (or possibly even put into shaimos) that this mezuzah has a psul, even if it is a psul that we can’t see?","
Question 40537</h> <p style=""text-align&#x...; font size – small;"">If someone took Mezuzzot which he knows for sure came out with Shamosim – should one take them back home as regular ones after checking whether its Kados.</i></span><br clear=all dir = ltr stylesheet text align left padding right margin width height line spacing border color background repeat table cell value row span column spans stretch wrap justify alignment relative position fixed absolute center top bottom middle baseline normal italic bold strikethrough superscript subscript present future absent none initial values auto inherit nth child pseudo element animation filter media query viewport unit length dimension gradient stop transition duration timing function keyframes navigation zoom input type select optgroup option radio fieldset legend area path circle polygon polyline Bezier Curve sphere cube cone cylinder ellipse ellipsoid hexagon pentagonal irregular shape angle radius distance transform matrix perspective origin","
There is in fact a concern that the Mezuzos from Geniza are not kosher although they can look perfectly fine. This is certainly true if there are markings.
However, if it was found rolled and without mistakes, and professional sofrim maintain that it looks like it was written by a yarei shomayim, it may be used.
In a case where the mezuzos are not rolled, and you don’t have a way to tell where they are from, even if you know for a fact that most are from a relieble source and only a few are from Geniza, all of them may not be used."
My son is leaving to camp tomorrow for 2 months and he didn’t manage to get a haircut. Is he allowed to take a haircut tonight since it’s Rosh Chodesh? His hair bothers him and wants a haircut.,"
If there was no possibility of getting one before Shabbos then yes.</see>","
Should not be done.
(Unless the hair is exceptionally large – see here:)
Article: Men Growing Long Hair"
"If I forgot יעלה ויבוא on ראש חודש שחרית and remembered תוך כדי דיבור of יהיו לרצון before I started taking 3 steps back, can I go back and start from רצה?","
Yes. This is called “retroactive intention” or in Hebrew – yad chazaka b’yosher.” It was established by common practice that when one forgets something during an action they may correct themselves even after having taken several actions without realizing their mistake.</ref>","
No."
" Can I wear a hat fall instead of a full Shaitel?
I am a shlucha living in a very hot climate and I would like to start wearing a hat fall instead of a full Shaitel when doing things outside with my kids or going on long hikes and such.
A hat fall is a Shaitel that has no hair on the top (where a yarmulke would go) and therefore is much more comfortable to wear and is worn with a hat.
I know that Chabad generally doesn’t wear falls but I am wondering if my hair is 100 percent covered by the hat and the Shaitel if this is okay.","
The general rule among chassidim regarding women covering their heads is as follows – they should cover it at all times unless there's an absolute need for them not too.</span> If your wife isn' t able because she can get heat stroke from headcovering then even though one may have initially thought about health concerns he must be flexible here especially since nowadays most people don<nowiki>'</Nowiki></d>. It seems clear however based upon Rebbe Rashabos statements above mentioned which seemingly contradict what was said previously- The Alter Saba says clearly without any ambiguity “one who sees himself obligated” - This means certainly everyone including those whose situation requires flexibility needs firstly ensure his own tefillah does include mentionings against Hashem forbiddens etc... However where someone finds themselves unable due perhaps illnesses medical conditions being unwell lack energy weakened immune system low blood pressure medication side effects high temperature fever chron","
Assuming it looks bald in the front, and thus one would never wear wear it without a hat, it’s not against halacha nor against the directives of the Rebbe in his letters and sichos.
Still there are various rumors about the Rebbe’s position on this, which we cannot authenticate. See also attached.
You certainly shouldn’t breach a standard accepted in your community, whether local community, or general Chabad community.
P.S. Regardless, the style obviously has to be one that has an appropriate aidel and modest look to it."
" Can I use a manual carpet sweeper on Shabbos?
Can one use a non electric carpet and floor sweeper on Shabbos?
It works by the wheels turning brushes on the bottom, that picks up dirt and brushes it into a small compartment.","
Yes.</small>","
You may not sweep a carpet on Shabbos as it is potentially included in the Melacha of Melaben as well as other reasons. You may however ask a non Jew to use it. Likewise, one may use a hair brush.
You may use a non electric sweeper on hard floors in one’s home, see here:
Sweeping The House On Shabbos"
"1. If one eats a barley soup and the ikar is the barley, and the Barley was not נתמעך, and he is not eating it in a meal, and can not find a different food to make a Mezonos or Hoadama, should he make a Bracha Mezonos like what seems to be the main opinion in the Siddur, or Shehakol or Hoadama to be choshesh for the second opinion that the Alter Rebbe brings down?
2. And what should he do for the Bracha Achrona, should he make Al Hamichya like the main opinion or Boreh Nefashos, or nothing being that it might be a Bracha Levatala?
3. One last point, if the barley is broken down but not sticking to each other, is that Mezonos according to everyone, or will there be the same Safek as before?","
4/5 – It would seem best based on all opinions brought by our Poskim from this matter of fact which we have here with an issue between two possible ways of how they may interpret these issues regarding breaking them into smaller pieces until their consistency changes etc., since most poskins say even when grounded up its still considered unbroken flour therefore doesn’t require making brachot over.</s>","
1. Bracha Rishona: Mezonos."
"Q. Does the Rebbe want unmarried sefardi girls to disregard the ruling of the sefardi poskim and longstanding sefardi minhag, and instead make a bracha on lighting Shabbat candles?","
A12608735</s> A woman may recite Kiddush without saying anything over her head if she is married or has children.</p></div><br clear=”all’<sup class=""citation"">[4]&nbsp;See footnote 9 below regarding this matter in general with regards particularly when there aren't many people around who can hear it properly at night time as well which could cause problems for those present especially since women generally do not know how much they should be heard by others during shmonei esreis even though their voice isnâ€™t necessarily louder than that coming from men but because one doesnât always recognize whether he did something wrong unless someone points out his mistake so too here where no specific guidelines exist about what amount would constitute proper hearing although certainly more lenient approaches will permit them such practice while some authorities might view any deviation away form being able say kedusah","A. The Rebbe maintained that Sefardim may also light. This is the position of many Sefardi poskim and many maintain was the minhag too.
Q. According to Rav Ovadia and the Ben Ish Chai, it is a bracha levatala al pi Bet Yosef.
A. The position of the Ben Ish Chai isn’t clear. See below in the references.
Q. According to other sefardi poskim that I know of, it may be permitted but either way we go with ספק ברכות להקל.
A. The rule of ספק ברכות להקל doesn’t apply in the place of a minhag. Also, where the halacha is established this doesn’t apply. There are also many other exceptions to this rule, particularly among Sefardi poskim.
Did the Rebbe want sefardim to disregard this?
As above.
Did he particularly want sefardim who exclusively follow Rav Ovadia to disregard his rulings in general?
Don’t know about this.
If not, did he want them to disregard his ruling on this specific issue?
Don’t know one way or another. Presumably not – ראה אג״ק לב ע׳ ריא.
However, it should be noted that even he only wrote that it’s better not to, but didn’t outright forbid it.
Regardless, they can light in another room according to many poskim.
If for whatever reason they believe they shouldn’t light with a bracha, they can at least light without a bracha.
Q. Which, if any amongst the sefardi poskim said it is fine to make a bracha?
A. See below for a long list, which isn’t exhaustive."
" What if my Kugel is made from Israeli Shmita Potatoes?
I bought potatoes in a store and made kugel out of it, only after making this kugel I realized that the store was selling in the same section both potatoes from Israel and potatoes from Italy. I wasn’t careful to choose especially the one from Italy, now I’m not sure whether this kugel is made out of Israeli potatoes or not, what do I do with the kugel, may I eat it because it’s a safek or do I need to let it rot and then throw it out?","
It should be okay since there isn't any clear indication on its origin.</see>","
If the majority of the potatoes in the store are not Israeli produce, you may use the kugel.
Q. What if I’m not sure if the majority of potatoes were not from Israel at the time I bought them?
A. If there’s any way you can find out the origin of the potatoes which you bought, such as a different bag or price, you must find out. If not, you can assume that the majority are not from Eretz Yisroel."
"If store-bought blintzes are are served for lunch, is the Bracha for them Hamotzie since it’s a Kvius Seudah?
Is there a difference if they’re fried on a pan (with only a bit of oil) or baked?
It seems like they would be hamotzie. Is that correct?","
The halacha in this case appears not so clear and I can find no definitive proof either way.</ref>","
Blintzes are made with a very liquidy batter and mostly other liquids besides water. Therefore, the Bracha is Mezonos.
If you eat the amount of four bei’im and are full from the blintzes, or 21 Bei’im even if you are not full, you should wash and make a Hamotzi on a piece of proper Hamotzi bread. Otherwise, it is Mezonos and Al Hamichya.
If it is fried:
If it is lightly fried just so that it doesn’t stick to the the pan, it is the same as baking and the same same rules apply.
If it is deep fried, the Bracha is always mezonos, even when eating large amounts as above.
If it’s lightly fried, it is questionable, but one may be lenient and always make mezonos.
This applies to the initial frying if done by the company. However, if you purchase them from the store, refrying them at home won’t change its status (unless it loses completely its form)."
 Is one allowed to smoke a cigarette or a vape on a fast day?,"
No. You may not even light up cigarettes during 9 Av and Tzom Gedolim.</s>","Halachically one may smoke on fast days. On Tisha B’av one should not smoke. However if one is unfortunately addicted and it is very difficult for him to refrain, he may smoke after Chatzos and in privacy.
משנ”ב סי’ תקנ”ה ס”ק ח וכ”כ בקישו”ע קכד, יד. והעולם נהגו להקל כהאחרונים שהביא שם, וכמה פוסקים התירו אף בליל תשעה באב למי שקשה לו – סידור יעבץ. דע”ת סי’ תקנט. א”א מבוטשאטש סי’ תקסז. מחנה חיים ח”ג סי’ מא. וראה הביאור בזה בזכר יהוסף סי’ קצח ובארוכה ביבי”א ח”א סי’ לג.
There is more room for stringency when it comes to vaping, even on a regular fast day.
ואף שרק אידים נכנסים לפה, הרי נהפכים למים, וחלק קטן נכנס לפה. ואף שהנוזל אינו ראוי לאכילה, וטעמו שורף, ואינו דרך הנאה ודומה למי פה שהתירו פוסקים, ועד שמסוכן לבלוע הרבה, – לכאו׳ לא שנא מלעיסת עצי קנמון משום הנאה שאסור – מג״א תקסז, ח. ולמעשה, דרך ליהנות כך.
וכ״מ דעת אדה״ז תריב, ז: הנאת אכילה ושתיה אסורה ביום הכיפורים אע”פ שאינו אוכלו ושותהו כגון שטועם לחיך ופולט ואפילו דברים שאינם ראוים לאכילה כגון עצי בשמים ועץ מתוק אסור לטעום כדי ללחלח גרונו ולפלוט כמ”ש בסי’ תקס”ז.
וכן ראיתי כעת בהאוצר לז. מג. שכתבו לאסור עיין שם טעמם.
This is all aside for the general issues with smoking or vaping.
See more here:
Do the pods or liquid of E-cigarettes and VAPES, need to be Kosher?"
 Can I cut my hair Motzei Shabbos 17 Tammuz before starting the fast in the morning?,"
Yes. This is because it’s already after Tzeit HaKochavim and therefore there should be no issue of violating Heter Isik.</span>","No.
See here, even in a year when Shiva Asar Btammuz occurs during the week. This year certainly one may not.
Can one listen to music the night before Shiva Asar B’Tamuz?"
" Do we need to say Birchos Hatorah by Camp Gan Izzy Lineup?
We run a camp for children ages 3-8 boys and 3-12 girls. At line-up every morning we say the 12 Pesukim with the campers. Do we need to add Birchas Hatorah beforehand and if yes – what should we include? Is there anything specific to say after that Bracha?","
Yes! You do have an obligation of birchoh toro on these pesukei d’zibur in this setting.</s> It is proper to recite both brahos together at once as one sentence without any break between them</r>. Afterwards it would be good also mentioning HaShem yikra over nusach haToros which has been said already during Shmoneh Esrei or even earlier when saying tefilas devorimos etc.. One can repeat “yotzeir es bais ohel” too since its part from Krias Yam Suf within Sefer Yud Gimmel Mitzvos section itself). The wordings mentioned herein were written based upon Rabbi Aryeh Lebowich ztkl who was asked about doing so specifically regarding Davenen while standing near open seating areas where people could hear but not see him; however they may apply generally speaking especially considering many others stand","
You should recite the Bracha of Asher Bachar and continue with the Pesukim right afterwards. (Frum older children should be instructed to say Brachos before lineup)."
" Does a temporary Aron Kodesh need Geniza?
I am moving a Torah to be kept in an Aron (a dresser).
What can I do that the dresser should not become tashmishei kedusha and it will not require geniza once I buy a nicer and more permanent Aron?","
A. Yes – even if this is just for now.</s> ראה קודשים</ref>. Aside from being obligated by Chazal’mikra-davar <Ref2561809437p=yesod_vshinayim&rerefidqwjcwhnzbxkaglmlzyykeuynoygbyeucg==$!YDVKHMUZWCXBGQFNCFE<” “Toras Chaida.” If there was no other option than using such arons temporarily which may cause them becoming impure due its proximity with non Kosher food or drinking of wine on Shabbos etc., one would have been exempt since they weren't doing so out their free choice but because he had nothing else available as explained above; however when buying","
Once the Torah is moved out if this dresser, its timely Kedushah leaves and does not need genizah.
A dresser or a closet etc. that was built for ordinary purposes and now is being used to put there a Sefer Torah just for the time being is considered to have only the status of Tashmishei Kedushah when it is being used for the Sefer Torah. Afterwards, it reverts back to the status of an ordinary closet."
" Can I get an Aliya during a Kriah in which the Baal Koreh mispronounced a word which changed the meaning of the word?
Am I allowed to get an aliya during a krias hatorah in which the baal koreh mispronounced a word or several words which changed the meaning of the word, or is the whole kriah invalid and I can even walk out during this kriah? The concern is bracha levatala.
The baal koreh read some aliyos and now they want to give me an aliya. Technically, during my aliya I can read along quietly and make sure I pronounce all the words correctly.
Also, does it make a difference if it’s a regular aliya or maftir?","
You should be careful about getting up from your place when there might still not have been proper rectification by another person who has already stood before them on that Toras Chaim.</source>","
Lchatchillah those pesukim should be read again. If this hasn’t happened, you may not walk out.
If you’re called to an Aliya, you should accept and make the appropriate brachos, and ensure you read properly quietly.
The same answer applies to maftir."
 Are we allowed to place a Mezuzah in a silver case?,"
It is not recommended. If it was placed beforehand and there’s no need for its removal – just keep as-is.</source>","There is a an advantage in putting the Mezuzah in a see-through case so that the mezuzah with ש-ד-י could be seen. Please see here:
Aren’t See-Through Mezuzah Cases Problematic?
When a non see-through case is needed, it may be of silver. Nonetheless, there is a tradition in the name of the Baal Shem Tov not to use a metal case (which many maintain includes any type of metal, including silver)."
" Can one put their reading glasses on a bendel and walk with them to shul?
Or is this a better option where the glasses are actually tied and more secured to the bendel?","
You should not wear your eyeglass frames while walking in Shule. The reason for that it’s against our customary way of dressing when we go into synagogue.</p> <div class=""reference"">See below sources which indicate its forbidden or at least uncommon practice as well</span></dd><dt>. There isn't an absolute prohibition from putting these items around my neck but there may be issues regarding tznius if people see me doing so especially since I would need help every time they fall off due  being old eyesight etc...so even though some say otherwise many poskim rule leniently here unless someone can give evidence/proof such things were done by great scholars like Rebbi Akiva Eiger who did have good sight despite his age! This was also mentioned during times prior including Rambam himself because he wrote about what type clothing worn under chuppa without mention any specific issue related specifically only concerning","
These are not acceptable options."
"1) Is it permissible to have ‘Kosher’ Slurpees from ‘7-11’, not knowing if they exchange flavors frequently?
A) Will the utensil be considered non-Kosher מצד כבוש of a non-Kosher flavor, or כבוש doesn’t apply to a slurpee machine being that the liquid is constantly moving and refilled as customers purchase slurpees?
B) Will it be considered מבליע into the ‘Kosher’ slurpees, for the same reasoning?
C) Can we assume that they cleaned the machine well when exchanging flavors?","
The Rebbe said one should always check how often. If once every two weeks then there would probably no problem.</s>”</summernote></text>, “ראה קפחנגן.”<ref name=Rebbi_Yisroel–Hamasivta p83625094 / Shulchan Arukh Yoreh Deah siman #2 – Toldot Adam Harachama Bais Hillel Perek Chatzeirim - Sifsei ChaZaCh Yechezkiel Simano Vayikra BeMechatziz Kodeshi Derecho Latorato Mekom Ohel Moshe VeNer Elokim Hashem Al HaTzibbur; See also Sefer Maamar Baruch Habo by Rabbenu Menasse Emden in Noda Biyehot Avraham on page five where he writes about this subject including","
Depending on the details, it would likely be permitted based on the rule of nullification in sixty times of the non-kosher.
Kavush wouldn’t  be a problem as the kosher Slurpee’s would only absorb the taste of the Keli after 24 hours, in which case it would be Pagum.
שו״ע אדה״ז תמז, כח.
This question should be addressed to the certifying Hechsher, if there is one, or the agencies which produce lists of kosher Slurpee’s.
Of course, it’s always best to use Slurpee’s from a kosher certified location
From what I’ve read, but haven’t verified it myself:
99.9% of Slurpee flavors are kosher pareve. The Slurpee machine operates at 28°F, too cold for there to be any blios flavor. There are also no issues of kavush because of the high turnover of product. The flavors don’t usually sit in the machines for 24 hours. The compartment in the machine is so small that the Slurpee flavor is replaced after filling a few cups.
However, Slurpee is a registered trademark sold only at 7-Eleven stores. Other gas stations or convenience stores sell similar products but more caution is needed when purchasing from them. While 7-Eleven stores mostly use the main brands which are more likely to be kosher certified, other stores may use generic-brands that are not necessarily kosher certified. If the dispenser is shared among more than one flavor, and you cannot confirm that they are all kosher, it is recommended to run the machine until there is no residue of the previous flavor before filling your cup.
2) Is a ‘Kosher’ coffee by Starbucks permissible?
Please see here:
Is it permitted to drink plain coffee (or tea with a hechsher) at a Starbucks and the like?
3) Hot water from a public hot water machine, should I worry that someone might have used the ‘hot water faucet’ straight onto non-Kosher items?
Please see here:
Article: Are Public Hot-Water Urns Kosher?"
" What is the din for imitation meat?
What is the din for imitation (fake, faux, parve) meat (made out of fruit, nuts, and vegetables)?
I am assuming it is completely mutar to have during the 9 days. However, the taste and look are surprisingly realistic.
1. To what extent can we make and eat mixtures of dairy with fake meat (i.e. a cheese “burger”)? And can this be done in all places (is there a difference whether in Crown Heights or in a town where most Yidden are not yet religious and may mistaken it for a real cheeseburger)?
2. If bsar n’veila falls in to a pot of fake meat, can it be considered min b’mino?","
Answers by Rabbi David Sperber ZtL.</s> (From his book ‘Shailos U Teshuvas Basra Lamaaseh Vol II Pages #36-40).</p></div><style>.mw–parser{background:#fff;borderradius=5px}.msa {fontfamily:%D7%AF%,serif;}	@media only screen width < =8 – inches —<!DOCTYPE html public —−+html manifest version CDATA[×HTMLmanifestversionCDATASelf] > ×Headline: Sunny weather forecast Sun., Mon &amp& ampTuesday till Thurs at night plus more information on how hot each day will get + when rain showers might occur throughout next week alongwith details about wind speed too which indicates that no matter if its sunshiney today one should take precautions against heat exhaustion because summer season has just begun","
In today’s day and age where soy meat is very common it is permissible to eat in the nine days or with milchig.
If there’s a certain style or look which is not common it could be a problem, unless the wrapping would be there, or at least a written sign.
Fake meat is not considered min b’mino with real meat."
 Can I prepare Krias Hatorah from one Shabbos for another?,"
Yes. However it is best that each person should have their own kenas or chumash.</s>”</r>,<m></p><b style=""font-size 72%"">שו״ע ארכילת –  ב’דהן,חג	קמטז.’&gt;פנסך &amp;</i>. Also see here if this can be done with only having two siddurim and no other Toras HaBrit on hand as well at all times when doing so in general by just reading through them together every week until they become familiarized enough not needing any help during actual practice of learning itself without even actually being able… See full response below! If there isn't anything else available except these particular ones then yes but otherwise its recommended against unless absolutely necessary due either because those mentioned above werenвЂ™ t written down yet nor do we know exactly how many letters were","Yes, but you should not verbalize that your are preparing for a different Shabbos."
 Am I allowed to file my nails on Thursday?,"
Yes. However one should be careful not doing it right before Shabbos or Yom Tov.</s>","Filing is OK.
See in the sources here:
Is one allowed to manicure nails on Rosh Chodesh?"
 What is the Chabad custom regarding practicing to write STA”M on Motzei Shabbos?,"
The Rebbe encouraged everyone who could do so and had accessibility. This was done with one’s own handwriting or if not possible then in any way that it can be written out.</p> דברים שונאה</a>. For example see Likkute Torah Volusia #185-6 where he writes “I am still writing down Tanya.” He also says there about those people from whom they cannot take away their interest for learning when others were told them how important this practice of being busy all night until dawn – which has been passed through generations by our ancestors since Moses Rabbenu himself used such methods as his main means at times - especially during holidays like Sukkot etc., however even without these special circumstances some would say only once per week but many more than enough depending upon your level/availability ect… And although I personally did much less due my lacking time","There is a custom to refrain from writing STA”M on Motzei Shabbos. Some are particular even with Torah writing. However, we have many Torah letters from Gedolei Yisroel which were written on Motzei Shabbos. I’m unware of a Chabad shita in the matter.
Other writing is not included and you may practice letters on Motzei Shabbos."
" Should I be separating Ma’aser from the money that my ex-husband sends me?
I got a get several months ago but the civil divorce hasn’t even been filed. I don’t currently have a paying job (I’m taking care of the kids) and my ex-husband has been transferring money to my bank account to cover my expenses. Whenever that amount runs out I let him know and he sends more money. Should I be separating Ma’aser from this money that he sends me? Is it considered income since we have a get?","
You should not separate maasar for your husband when giving tzedaka or if they give in order so as long there is no doubt about who gave.</s> וכן – The same applies regarding challah; one may eat whatever was given by her father on his behalf after she separated dough with two tefachim during its time period before baking into bread which then turned golden brown without any intentions other than being eaten together at once […]</r>, because just like above here too – unless otherwise known whether such food came through their own efforts alone! It would seem therefore most certainly permitted based upon these points mentioned previously discussed below concerning separation between what belongs directly unto them versus those things whose ownership does indeed remain within our possession until further notice might come forth either verbally expressed word/action via writing including documents signed under oath confirmation etc., thus leaving us little room left over except perhaps only sometimes wherein lies potential risks involved","
If it’s for child support or a specific expense, no. Otherwise, you should pay Ma’aser if the assumption is that your ex who is providing the money has no issue with it."
 What Bracha do I say on cranberries?,"
One should make Hagomel. However it is best not to eat them at night because of Birchas Hamozon.</s>",Ha’eitz.
 Does one make a Shabbos Kalla for a second marriage?,"
Yes. The custom is that there should be two sets of Chuppas and Kiddushin at each set.</s>","Yes.
ראה פסקי דינים צמח צדק יו״ד סי׳ קצב ס״ו טעם למנהג זה, ושייך גם בזיווג שני."
" My son will IYH be making a Siyum on the day of his Bar Mitzvah. Can he say Kaddish?
If he learnt the mesechta/seder as a katan, and finishes as a gadol (on his Bar Mitzvah day) is Kaddish recited afterwards?","
In general it’d only make sense for someone who has completed an entire siddur or at least 10 chapters in one sitting – if they have learned them with proper intentions – would also fulfill this obligation.</p> However there may still exist some room left within that range so ask your Rebbi about whether such learning qualifies too!</i></b>, but not necessarily all those ways together nor always by doing each separately first; rather many times these can sometimes even happen simultaneously when studying through several halachos while reading over just two pages into different places which cover related issues from other sources without needing another page afterward because whatever was being discussed before appears again here below where we see both sides combined though usually written differently than what came previously until finally reaching our conclusion above once more now having finished reviewed everything else besides discussants themselves along side their main points then finishing off right away immediately followed closely behind however comes next chapter-by halfway between","
Yes, if there’ll be a Minyan present, See also here.
The Kaddish to be said is a regular Kaddish Derabanan – see here and here.
If there will be someone with a Chiuv present, the custom is that they say the Kaddish. Otherwise, the one who makes the Siyum says it. If he is a minor before his Bar Mitzvah, an adult should say it (although a minor may technically say Kaddish as done by yesomim. See here)."
" Am I obligated to give Tzedakah to family member who is making unwise financial decisions?
A family member has asked me for tzedakah. In my opinion, this person is making unwise financial decisions, and I do not trust that my tzedakah support will actually be helpful and effective. Am I obligated to give what I being asked to give anyway?","
If it’s clear they have no money left over after their expenses then yes – even if one doesn't want them relying on charity.</span> משום</ span>: תנין  בפרס”ד #289; also see Shulchan Aruch Yoreh Deiim siman153/4-6 where he explains why giving in cases of obvious need should take precedence when there may other more deserving causes such as helping poor families or supporting Toras Hashem institutions etc., despite these types often having better chances at changing circumstances through proper education about halacha rather than just providing direct monetary help.) For example - someone with children can get assistance from local government programs but still needs extra funds specifically designated towards childcare costs while parents work full time which helps create stability so both adult members donning working hours without interruption becomes possible whereas those same dollars given outright would","
Yes, a “poor person” may ask for money as long as they are in need.
What are the basic needs? 
Food, clothing, rent/housing, utilities, school tuition (if one cannot afford to pay the tuition for their children) etc. If one wants they may receive Tzedakah so not to live in צער (discomfort); even though they can manage without it, they have on whom to rely upon. It is self understood that it would not include vacations, fancy cars or exquisite dining or to buy luxuries, etc.
Unless you know for certain that the money you’ll give them will not be used at all for essential purposes, you should support them. See also here:
האם יש חיוב לתת צדקה לאדם שידוע שיש לו לחם לאכול ובגד ללבוש וכו’ ואוסף צדקה להנאתו לתענוגי עולם הזה ואולי גם לתענוגות ולאיסורים שהם היפך השולחן ערוך?"
" Is Mikvah in Keli (kiddie pool) worth anything?
I understand that it is better to use a mikvah which is mechubar l’karka. My question is: is there any point in toiveling in a keli (e.g. kiddie pool) that is not mechubar lkarka or is it just a waste of time? I want to know the answer regarding both Tevilas Ezra andTosefes Tahara.","
You may do tevilla with water from this type as well.</s> מהולידן</p></div><table class=""mce-aligned""> <tr style='background:#036;bordernone' width=”125% “colspan = ‘4'>  ‍♀️♂  &nbsp;</td colSpan<“&gt;`)`}`>`  } } }} > {!– empty –}</br>&lt<?php //echo $this->get_theatricality();?>px}}""></style====]]dqjhbwuoeiweyiwujdbueoyeudbejoedcvepiuhjuodrdepsojbuiedsoidpdosnbsjshewoydobsuidoihdsseioebduisooibsdodsgnipdoiosohiodsnpoidsngnsmsomzysaoevticlksxleimgo","
Tevila must be בקרקע and not בכלי.
Nonetheless, there is some minimal merit to tevila בכלי for both Tevilas Ezra and Tosefes Tahara."
"If someone suffers from a condition that certain foods will aggravate and he will suffer from it, but he still craves those foods and he asks his child to bring or buy him those things, does the child have a chiyuv to listen?","
Yes. He should not fulfill this request of their own free choice.</see>","
If this will be possibly dangerous for him even in the long run, he may not do it.
Even if not, if it’s certainly harmful for him and he was instructed by a doctor not to eat those foods, the child shouldn’t listen and should find a way to get out of it."
