question,actual_output,expected_output
" Can I use a manual carpet sweeper on Shabbos?
Can one use a non electric carpet and floor sweeper on Shabbos?
It works by the wheels turning brushes on the bottom, that picks up dirt and brushes it into a small compartment.","
Yes. This is an acceptable way of cleaning.
This can be done as long there isn’t any other mechanism involved in this process which would make them forbidden for usage on shabbes such us buttons or electricity etc… Which doesn`t seem like you case since your description seems quite simple without anything else involving these things so yes its permitted. 
See also here: Is using Mop with water allowed? Also see below about mops
Is vacuuming ok if not working properly because some hair","
You may not sweep a carpet on Shabbos as it is potentially included in the Melacha of Melaben as well as other reasons. You may however ask a non Jew to use it. Likewise, one may use a hair brush.
You may use a non electric sweeper on hard floors in one’s home, see here:
Sweeping The House On Shabbos"
"1. If one eats a barley soup and the ikar is the barley, and the Barley was not נתמעך, and he is not eating it in a meal, and can not find a different food to make a Mezonos or Hoadama, should he make a Bracha Mezonos like what seems to be the main opinion in the Siddur, or Shehakol or Hoadama to be choshesh for the second opinion that the Alter Rebbe brings down?
2. And what should he do for the Bracha Achrona, should he make Al Hamichya like the main opinion or Boreh Nefashos, or nothing being that it might be a Bracha Levatala?
3. One last point, if the barley is broken down but not sticking to each other, is that Mezonos according to everyone, or will there be the same Safek as before?","
The common custom of making meizonei brochos on mazonohs has no basis whatsoever.
When you eat something which doesn’t have its own brachah suchas this case with your example where when we say “mezonen” even though I would’ve said shehecheyanu already because all those who ate at his table were also saying shabbose malkehes so they needn't declare an additional blessing after their bread,but here since only some people’s","
1. Bracha Rishona: Mezonos."
"Q. Does the Rebbe want unmarried sefardi girls to disregard the ruling of the sefardi poskim and longstanding sefardi minhag, and instead make a bracha on lighting Shabbat candles?","
The Lubavitcher Chassidim do not follow this custom.
See here for more details: https://www.asktherabbi.org/2019-06-is-there-a-minhagy-of-lubavitcchers-to-have-the-brachos-on-shabbit-candles-always/
And see also our previous response regarding your query about whether you can change from one customs back again after marrying into that family or community – which is yes as well in general with regards any","A. The Rebbe maintained that Sefardim may also light. This is the position of many Sefardi poskim and many maintain was the minhag too.
Q. According to Rav Ovadia and the Ben Ish Chai, it is a bracha levatala al pi Bet Yosef.
A. The position of the Ben Ish Chai isn’t clear. See below in the references.
Q. According to other sefardi poskim that I know of, it may be permitted but either way we go with ספק ברכות להקל.
A. The rule of ספק ברכות להקל doesn’t apply in the place of a minhag. Also, where the halacha is established this doesn’t apply. There are also many other exceptions to this rule, particularly among Sefardi poskim.
Did the Rebbe want sefardim to disregard this?
As above.
Did he particularly want sefardim who exclusively follow Rav Ovadia to disregard his rulings in general?
Don’t know about this.
If not, did he want them to disregard his ruling on this specific issue?
Don’t know one way or another. Presumably not – ראה אג״ק לב ע׳ ריא.
However, it should be noted that even he only wrote that it’s better not to, but didn’t outright forbid it.
Regardless, they can light in another room according to many poskim.
If for whatever reason they believe they shouldn’t light with a bracha, they can at least light without a bracha.
Q. Which, if any amongst the sefardi poskim said it is fine to make a bracha?
A. See below for a long list, which isn’t exhaustive."
" What if my Kugel is made from Israeli Shmita Potatoes?
I bought potatoes in a store and made kugel out of it, only after making this kugel I realized that the store was selling in the same section both potatoes from Israel and potatoes from Italy. I wasn’t careful to choose especially the one from Italy, now I’m not sure whether this kugel is made out of Israeli potatoes or not, what do I do with the kugel, may I eat it because it’s a safek or do I need to let it rot and then throw it out?","
You can make use for another purpose.
ראה תשובתי לפנים אדע במ”ב שו”, מח’ הל  – “…if you cooked them together [with non-Shmittah] they should be discarded as well.” …”
See also here: https://www.yeshiva.org.il/torat-hadam/parashas-shmini-zichron-keviav-tov/
This applies even","
If the majority of the potatoes in the store are not Israeli produce, you may use the kugel.
Q. What if I’m not sure if the majority of potatoes were not from Israel at the time I bought them?
A. If there’s any way you can find out the origin of the potatoes which you bought, such as a different bag or price, you must find out. If not, you can assume that the majority are not from Eretz Yisroel."
"If store-bought blintzes are are served for lunch, is the Bracha for them Hamotzie since it’s a Kvius Seudah?
Is there a difference if they’re fried on a pan (with only a bit of oil) or baked?
It seems like they would be hamotzie. Is that correct?","
Yes.
The fact you mentioned about being “fried” doesn’t make any significant change in this matter as we say ha’guf and not hagimel which means when something has an added flavor from another food source then its brachos should reflect such addition even though at first glance one wouldn't think so but rather because their taste changes due what was done with other foods during cooking process – meaning adding new flavors etc., however here your frying method isn‘t changing anything; therefore no","
Blintzes are made with a very liquidy batter and mostly other liquids besides water. Therefore, the Bracha is Mezonos.
If you eat the amount of four bei’im and are full from the blintzes, or 21 Bei’im even if you are not full, you should wash and make a Hamotzi on a piece of proper Hamotzi bread. Otherwise, it is Mezonos and Al Hamichya.
If it is fried:
If it is lightly fried just so that it doesn’t stick to the the pan, it is the same as baking and the same same rules apply.
If it is deep fried, the Bracha is always mezonos, even when eating large amounts as above.
If it’s lightly fried, it is questionable, but one may be lenient and always make mezonos.
This applies to the initial frying if done by the company. However, if you purchase them from the store, refrying them at home won’t change its status (unless it loses completely its form)."
 Is one allowed to smoke a cigarette or a vape on a fast day?,"
There is no issue in smoking cigarettes. However there might be an issur d’rabbanan against vaping.
See here for more information: https://asktherav.com/2020/vaping-on-fast-days/
ראה גם שו”ע אדמות היהי בשבת מחלנ”, ל“… “
Please note that this was written by me and I am not aware of any other similar response from another Pose","Halachically one may smoke on fast days. On Tisha B’av one should not smoke. However if one is unfortunately addicted and it is very difficult for him to refrain, he may smoke after Chatzos and in privacy.
משנ”ב סי’ תקנ”ה ס”ק ח וכ”כ בקישו”ע קכד, יד. והעולם נהגו להקל כהאחרונים שהביא שם, וכמה פוסקים התירו אף בליל תשעה באב למי שקשה לו – סידור יעבץ. דע”ת סי’ תקנט. א”א מבוטשאטש סי’ תקסז. מחנה חיים ח”ג סי’ מא. וראה הביאור בזה בזכר יהוסף סי’ קצח ובארוכה ביבי”א ח”א סי’ לג.
There is more room for stringency when it comes to vaping, even on a regular fast day.
ואף שרק אידים נכנסים לפה, הרי נהפכים למים, וחלק קטן נכנס לפה. ואף שהנוזל אינו ראוי לאכילה, וטעמו שורף, ואינו דרך הנאה ודומה למי פה שהתירו פוסקים, ועד שמסוכן לבלוע הרבה, – לכאו׳ לא שנא מלעיסת עצי קנמון משום הנאה שאסור – מג״א תקסז, ח. ולמעשה, דרך ליהנות כך.
וכ״מ דעת אדה״ז תריב, ז: הנאת אכילה ושתיה אסורה ביום הכיפורים אע”פ שאינו אוכלו ושותהו כגון שטועם לחיך ופולט ואפילו דברים שאינם ראוים לאכילה כגון עצי בשמים ועץ מתוק אסור לטעום כדי ללחלח גרונו ולפלוט כמ”ש בסי’ תקס”ז.
וכן ראיתי כעת בהאוצר לז. מג. שכתבו לאסור עיין שם טעמם.
This is all aside for the general issues with smoking or vaping.
See more here:
Do the pods or liquid of E-cigarettes and VAPES, need to be Kosher?"
 Can I cut my hair Motzei Shabbos 17 Tammuz before starting the fast in the morning?,"
Yes. However it is best not too close and neat as this may cause you discomfort during your fasting.
See here for more information on cutting one’s nails after Yom Kippur: https://www.asktherav.com/2019/can-i-cut-my-nails-after-yeshivas-terach/
ראה שו”ת יד ליצחק אות מב – הי’ בענשלמ”.
Source
The above","No.
See here, even in a year when Shiva Asar Btammuz occurs during the week. This year certainly one may not.
Can one listen to music the night before Shiva Asar B’Tamuz?"
" Do we need to say Birchos Hatorah by Camp Gan Izzy Lineup?
We run a camp for children ages 3-8 boys and 3-12 girls. At line-up every morning we say the 12 Pesukim with the campers. Do we need to add Birchas Hatorah beforehand and if yes – what should we include? Is there anything specific to say after that Bracha?","
You may certainly do so.
It is proper custom in general when reciting Shema/Chumash etc., which includes Bircas HaToroh before saying it aloud amongst others or out loud without an Eruv Tavshilin on Yom Chol Hamoed of Rosh Hashana/Yoma Aroka; as well one does not read from Sefer Torah at night unless he has already done all this during day time… see here: https://www.yesh","
You should recite the Bracha of Asher Bachar and continue with the Pesukim right afterwards. (Frum older children should be instructed to say Brachos before lineup)."
" Does a temporary Aron Kodesh need Geniza?
I am moving a Torah to be kept in an Aron (a dresser).
What can I do that the dresser should not become tashmishei kedusha and it will not require geniza once I buy a nicer and more permanent Aron?","
The arnon kodash is considered as if one made another kosher shelamim. Therefore there’s no issue of Tumah or Taharah with respect thereto.
However we would recommend placing something within this room which has some degree of tum’as rishonus such like bread crumbs etc so when you move out he may throw away all what was inside without having any issues due also for many other reasons even though they were clean before being placed into his home because these items could have been","
Once the Torah is moved out if this dresser, its timely Kedushah leaves and does not need genizah.
A dresser or a closet etc. that was built for ordinary purposes and now is being used to put there a Sefer Torah just for the time being is considered to have only the status of Tashmishei Kedushah when it is being used for the Sefer Torah. Afterwards, it reverts back to the status of an ordinary closet."
" Can I get an Aliya during a Kriah in which the Baal Koreh mispronounced a word which changed the meaning of the word?
Am I allowed to get an aliya during a krias hatorah in which the baal koreh mispronounced a word or several words which changed the meaning of the word, or is the whole kriah invalid and I can even walk out during this kriah? The concern is bracha levatala.
The baal koreh read some aliyos and now they want to give me an aliya. Technically, during my aliya I can read along quietly and make sure I pronounce all the words correctly.
Also, does it make a difference if it’s a regular aliya or maftir?","
If you know that he will not correct himself throughout his reading then your choice should be based on what would bother him less – for example if there was no other option but one more time without corrections being made by someone else than yourself either way whether from another person who knows how its pronounced well enough so everyone understands properly like many times before with different people etc., otherwise also within such case as mentioned earlier too i.e.: whereupon hearing somebody say “I don’t understand” after listening attentively","
Lchatchillah those pesukim should be read again. If this hasn’t happened, you may not walk out.
If you’re called to an Aliya, you should accept and make the appropriate brachos, and ensure you read properly quietly.
The same answer applies to maftir."
 Are we allowed to place a Mezuzah in a silver case?,"
Yes. This is not considered as an issue of Kavod Hamesurim.
Source: Shulchan Aruch Yoreh De’Ah Chapter נג השו”ע שהלוחמים אדרי לא בבנת מח difficult for me and my children etc., see there that it’s permitted also when one places on top or at bottom – but he says this only if its without any other purpose like being able put","There is a an advantage in putting the Mezuzah in a see-through case so that the mezuzah with ש-ד-י could be seen. Please see here:
Aren’t See-Through Mezuzah Cases Problematic?
When a non see-through case is needed, it may be of silver. Nonetheless, there is a tradition in the name of the Baal Shem Tov not to use a metal case (which many maintain includes any type of metal, including silver)."
" Can one put their reading glasses on a bendel and walk with them to shul?
Or is this a better option where the glasses are actually tied and more secured to the bendel?","
One should not tie or clip any object onto his Bendels. This applies also in cases of jewelry that has no specific connection between it being worn as an ornament.
However if you need your sunglasses for vision purposes then there’s room here too but ideally they shouldn’t be hung from around ones neck either – see link below: https://www.asktherav.com/2017-05-question-about-wearing-sunglasses-in-shule.html
Source :
והראיתו לי","
These are not acceptable options."
"1) Is it permissible to have ‘Kosher’ Slurpees from ‘7-11’, not knowing if they exchange flavors frequently?
A) Will the utensil be considered non-Kosher מצד כבוש of a non-Kosher flavor, or כבוש doesn’t apply to a slurpee machine being that the liquid is constantly moving and refilled as customers purchase slurpees?
B) Will it be considered מבליע into the ‘Kosher’ slurpees, for the same reasoning?
C) Can we assume that they cleaned the machine well when exchanging flavors?","
It’s forbidden. If you know there was no cleaning done between uses then its prohibited even with proper supervision.
ראה שו”ת בני אמש – הע ח ל:4
If one knows he can clean them after each use in his own hands without any problem; may do so under such conditions only on condition none other has used this exact cup before him since cups might get mixed up by others who don t keep kosher properly which could lead someone unknowingly","
Depending on the details, it would likely be permitted based on the rule of nullification in sixty times of the non-kosher.
Kavush wouldn’t  be a problem as the kosher Slurpee’s would only absorb the taste of the Keli after 24 hours, in which case it would be Pagum.
שו״ע אדה״ז תמז, כח.
This question should be addressed to the certifying Hechsher, if there is one, or the agencies which produce lists of kosher Slurpee’s.
Of course, it’s always best to use Slurpee’s from a kosher certified location
From what I’ve read, but haven’t verified it myself:
99.9% of Slurpee flavors are kosher pareve. The Slurpee machine operates at 28°F, too cold for there to be any blios flavor. There are also no issues of kavush because of the high turnover of product. The flavors don’t usually sit in the machines for 24 hours. The compartment in the machine is so small that the Slurpee flavor is replaced after filling a few cups.
However, Slurpee is a registered trademark sold only at 7-Eleven stores. Other gas stations or convenience stores sell similar products but more caution is needed when purchasing from them. While 7-Eleven stores mostly use the main brands which are more likely to be kosher certified, other stores may use generic-brands that are not necessarily kosher certified. If the dispenser is shared among more than one flavor, and you cannot confirm that they are all kosher, it is recommended to run the machine until there is no residue of the previous flavor before filling your cup.
2) Is a ‘Kosher’ coffee by Starbucks permissible?
Please see here:
Is it permitted to drink plain coffee (or tea with a hechsher) at a Starbucks and the like?
3) Hot water from a public hot water machine, should I worry that someone might have used the ‘hot water faucet’ straight onto non-Kosher items?
Please see here:
Article: Are Public Hot-Water Urns Kosher?"
" What is the din for imitation meat?
What is the din for imitation (fake, faux, parve) meat (made out of fruit, nuts, and vegetables)?
I am assuming it is completely mutar to have during the 9 days. However, the taste and look are surprisingly realistic.
1. To what extent can we make and eat mixtures of dairy with fake meat (i.e. a cheese “burger”)? And can this be done in all places (is there a difference whether in Crown Heights or in a town where most Yidden are not yet religious and may mistaken it for a real cheeseburger)?
2. If bsar n’veila falls in to a pot of fake meat, can it be considered min b’mino?","
You should avoid eating such food products as much possible especially on Shabbos when you could serve other options that would fit into your usual diet better so people will know they’re being served kosher d’sidraim foods which also means healthier choices too! In general though if someone needs these types he shouldn’t feel guilty about his choice but rather take advantage of opportunities like buying from companies who offer both parev & Fleishig items at same price etc… 
However one must realize how important","
In today’s day and age where soy meat is very common it is permissible to eat in the nine days or with milchig.
If there’s a certain style or look which is not common it could be a problem, unless the wrapping would be there, or at least a written sign.
Fake meat is not considered min b’mino with real meat."
 Can I prepare Krias Hatorah from one Shabbos for another?,"
Yes.
ראה סימן בשוע”ת שו’ אדמנ. העיב מחל ל: “… (2). … 
See also here.
If you can’t find it in your local shul or if they don't have any – see this post. And look at these options too :
In general though we should not be doing that as much of an issue is whether there’s enough room and what about other","Yes, but you should not verbalize that your are preparing for a different Shabbos."
 Am I allowed to file my nails on Thursday?,"
Yes.
ראה שו”ת כנסות אדמ’ בחליק משבי הע. ל – [1]. 
(See also: [2].)
Sources:

References and Sources
a.[3]
b.

Other questions about Shabbos which were answered by this Posek can be found here.
c.d.e.f.g.h.i.j.k.l.m.n.o.p.q.r.s.t.u.v.w.x","Filing is OK.
See in the sources here:
Is one allowed to manicure nails on Rosh Chodesh?"
 What is the Chabad custom regarding practicing to write STA”M on Motzei Shabbos?,"
The Rebbe writes in Igros Kodesh vol.5 p.
That one should not practice writing Sifrei Torah at night but rather during Bein Hashmashot or after Tisha B’Av and before Rosh HaShana because of Davening for rain etc… However this does apply if it’s an emergency case where he needs his own Sefer so that there won’t be any need from others which would cause them difficulties due their lack ability make another sefer as well","There is a custom to refrain from writing STA”M on Motzei Shabbos. Some are particular even with Torah writing. However, we have many Torah letters from Gedolei Yisroel which were written on Motzei Shabbos. I’m unware of a Chabad shita in the matter.
Other writing is not included and you may practice letters on Motzei Shabbos."
" Should I be separating Ma’aser from the money that my ex-husband sends me?
I got a get several months ago but the civil divorce hasn’t even been filed. I don’t currently have a paying job (I’m taking care of the kids) and my ex-husband has been transferring money to my bank account to cover my expenses. Whenever that amount runs out I let him know and he sends more money. Should I be separating Ma’aser from this money that he sends me? Is it considered income since we have a get?","
If you receive support directly as an “ex-wife”, then one should not separate maasser on such funds.
However if your husband is supporting his children through these transfers – which seems likely given what was written in response above – than there’s no need for separation at all because they would otherwise pay their father himself instead… see here: 
טענה זו אינשיות המחלא בדבר מת ש” ל
Source","
If it’s for child support or a specific expense, no. Otherwise, you should pay Ma’aser if the assumption is that your ex who is providing the money has no issue with it."
 What Bracha do I say on cranberries?,"
Cranberry juice should be said Shehakiyanu.
If you eat them in fruit salad or as an ingredient of other foods – Al Ha’Eitz. If they’re mixed with honey and sugar it’s also Yishtabach if there is no intention for eating just this mixture by itself but rather within another food like yogurt etc., otherwise its Hamotzi because one would want enough from which he could make himself full even without mixing anything else into that amount e.g.: mix",Ha’eitz.
 Does one make a Shabbos Kalla for a second marriage?,"
Yes. The same applies as with other life cycle events.
See here:  https://asktherav.com/2017/q-what-is-the-minimum-and-maximu…
קול רמ”ה אדעתי שנית מאשרו לבּחל ב… ה’ – “The Minyan must be at least ten men”. This is not accurate and I will explain below why it’s incorrect in this specific case of","Yes.
ראה פסקי דינים צמח צדק יו״ד סי׳ קצב ס״ו טעם למנהג זה, ושייך גם בזיווג שני."
" My son will IYH be making a Siyum on the day of his Bar Mitzvah. Can he say Kaddish?
If he learnt the mesechta/seder as a katan, and finishes as a gadol (on his Bar Mitzvah day) is Kaddish recited afterwards?","
Yes.
There’s an opinion that it should not be said at all in this case – see here for more information: 
However there isn’t much room left over from which one may derive such leniency with regards our custom or any other particular Minhagim we have regarding saying Kiddush Hashem after completing Talmud Torah… Therefore its clear based upon what has been explained previously concerning Tefillin etc., even though they were made by him when young; similarly also applies where","
Yes, if there’ll be a Minyan present, See also here.
The Kaddish to be said is a regular Kaddish Derabanan – see here and here.
If there will be someone with a Chiuv present, the custom is that they say the Kaddish. Otherwise, the one who makes the Siyum says it. If he is a minor before his Bar Mitzvah, an adult should say it (although a minor may technically say Kaddish as done by yesomim. See here)."
" Am I obligated to give Tzedakah to family member who is making unwise financial decisions?
A family member has asked me for tzedakah. In my opinion, this person is making unwise financial decisions, and I do not trust that my tzedakah support will actually be helpful and effective. Am I obligated to give what I being asked to give anyway?","
Yes.
The fact of your distrust does not change anything in regards giving them charity as it’s all about helping another Jew rather than changing their behavior or actions on how they handle finances etc… However one should consider if there other ways he could help his fellow like teaching him good manners with money management which might have more positive effect then just simply handing out some cash without any education attached.
See here: https://www.asktherav.com/2019-07-tzidka-lachaim","
Yes, a “poor person” may ask for money as long as they are in need.
What are the basic needs? 
Food, clothing, rent/housing, utilities, school tuition (if one cannot afford to pay the tuition for their children) etc. If one wants they may receive Tzedakah so not to live in צער (discomfort); even though they can manage without it, they have on whom to rely upon. It is self understood that it would not include vacations, fancy cars or exquisite dining or to buy luxuries, etc.
Unless you know for certain that the money you’ll give them will not be used at all for essential purposes, you should support them. See also here:
האם יש חיוב לתת צדקה לאדם שידוע שיש לו לחם לאכול ובגד ללבוש וכו’ ואוסף צדקה להנאתו לתענוגי עולם הזה ואולי גם לתענוגות ולאיסורים שהם היפך השולחן ערוך?"
" Is Mikvah in Keli (kiddie pool) worth anything?
I understand that it is better to use a mikvah which is mechubar l’karka. My question is: is there any point in toiveling in a keli (e.g. kiddie pool) that is not mechubar lkarka or is it just a waste of time? I want to know the answer regarding both Tevilas Ezra andTosefes Tahara.","
If one wants for their tehilim etc.
However if they only need taharas nidoshos then this should suffice as well – even though its much less than what would be required from regular water- although some poskim hold otherwise see here
ראה ויקחו לך את המשניות של מע”ד בבּ“„– (1). There’s an issue with regard “mikva le","
Tevila must be בקרקע and not בכלי.
Nonetheless, there is some minimal merit to tevila בכלי for both Tevilas Ezra and Tosefes Tahara."
"If someone suffers from a condition that certain foods will aggravate and he will suffer from it, but he still craves those foods and he asks his child to bring or buy him those things, does the child have a chiyuv to listen?","
Yes.
ראה סק”ב שו’ אדמורע ב. הנשתלים מחי ל-7:9 – see also there in regards of children who do not know any better – they don’t need an explanation if their father tells them “do this for me”. But when you explain what’s wrong with eating these food items because one should be careful about health issues etc., then yes certainly we must make sure our","
If this will be possibly dangerous for him even in the long run, he may not do it.
Even if not, if it’s certainly harmful for him and he was instructed by a doctor not to eat those foods, the child shouldn’t listen and should find a way to get out of it."
I have been having nightmares recently about cadavers and about dead people in general. what halachic guidance is there for medical professionals dealing with these cadaver labs? Are there any segulos or things we can do for ourselves and for the honor of the dead (whatever nefesh remain by the body)? as far as I know they are all non-Jews.,"
One should try not be involved emotionally.
It’s good that you’re asking this questions because it shows your sensitivity towards others’ feelings which will help other patients feel more comfortable around their doctors too!
Also one shouldn’t worry if he sees something bad while doing his job – seeing death doesn`t make him impure etc., but being overly attached would indeed cause problems! Also see here https://www.yutorah.org/lectures-play/?clipID=142234
In regards specifically concerning working","
You mentioned that you are fairly certain that the body is Non-Jewish. Therefore, we will answer accordingly. However, it is important to note that some schools do in fact use Jewish cadavers (though not often). So, if possible, it may be a good idea to ask about the history of your cadaver. If not possible, you can work under the assumption that the body you are working on is in fact not Jewish (outside of Israel obviously).
In respect to your question, a non-Jewish cadaver donated to science for the purpose of medical education is okay to be studied on. This is because it is for the sake of medicine and the potential of finding cures for life threatening conditions.
That said, when you are in the anatomy lab working on a cadaver you should always keep in mind that the Tzelem Elokim applies to all humans and therefore work respectfully on the body. This includes not talking divrei chol, not joking around the body (as many students unfortunately do), and overall respect for the person who graciously donated their body for your education.
There are a number of organizations that may assist you with these challenges and others as you continue your medical career. One that comes to mind is an organization recently founded by frum medical students called the Jewish Physicians Network
www.JewishPhysiciansNetwork.com
Please also see the attached link:
What should a Jew do if they said the bedtime Shema and still had a bad dream? How do they stop having the dreams?"
" Is this visualization technique problematic?
My granddaughter has a very hard time falling asleep, wakes up at night and can’t fall back to sleep, and is starting to worry about herself.
I have a visualization technique for kids that looks like it could be helpful. But I want to make sure it’s not Avodah Zara before sharing it.
If it is basically kosher, I could add in “feel trust in Hashem inside your heart,” “feel Hashem giving you strength,” etc.
This is the technique:
A SHINING STAR
Purpose: feel strong and rested
Close your eyes.
Imagine the dark sky at night.
Look up at the bright stars.
See the word STAR in your mind.
Imagine the letters S-T-A-R on the inside of your eyelids.
As you look at the letter S, breathe in strength.
Feel strength inside your body.
As you look at the letter T,
breathe in trust.
Feel trust inside your heart.
As you look at the letter A, breathe in awareness.
Feel awareness inside your mind.
As you look at the letter R, breathe in rest.
Feel rest inside your whole self.
Now picture a beautiful bright shining star.
Feel the peace of the night sky.
Let your own star be very special for you.
See how brightly it shines.","
It seems proper from many angles but we should clarify some points with respect to its connection towards any form or idolatry worship – which may also effect one who does such things even if they don”t believe there actually exists an actual being as described by their imagination. In general when doing anything connected directly related specifically only associated within these ideas mentioned above then without doubt all those actions will still remain halachically forbidden because technically speaking; however since most people do use other forms i.e., visual","
This may be done.
However, it is better to use ideas that are mentioned in Torah.
Examples: thinking about waves or techiyas hameisim; taking a sefer to learn; don’t say that you’re going to sleep, say you’re going to rest.
The Rebbe advises in various letters, in addition to following medical instructions, some of the following: reciting Shema before retiring, removing their mind from the problem and having strong bitachon, making sure they have a proper diet, eating light foods an hour or two before sleeping, set times for eating and sleeping, checking the mezuzah (for men – their Tefillin) in their room, having a kosher mezuzah near their bed (if necessary – with two covers), checking the kashrus of their food and drink, giving tzedaka every weekday morning before davening, saying daily Tehillim, for men – sleeping with tallis katan."
"If a recipe calls for enough flour to be chayav in Challah, but the only liquid present is almond or oat milk, is there still a need to add a little water to such a dough or is the significant amount of water found in the almond/oat milk enough to make this dough be Rauy L’kabel tumah and no water needs to be added?","
In general one should not rely on non-chometz milchig as it’s primary purpose isn’t kosher food.
However if you can ensure that your oven has been thoroughly cleaned after baking bread then yes. However even with all these conditions fulfilled we would prefer adding some actual real meat based stock rather than relying solely upon vegetable broth which could potentially have chametz ingredients within its composition – see here: https://asktherabbi.org/2016-06/chamatz-in-a-bro","
There’s no need to add extra water (provided the almond/oat milk indeed contains water in its ingredients, of course. According to many opinions, even one drop of water is enough to make the brachah of hafrashas chalah.).
I should also point out that nowadays wheat and oat kernels used to make their respective flours are tempered with water and/or steamed and these processes make the kernels wet, thereby making them Muchshar Lekabel Tumah. Therefore, nowadays when baking with regular wheat flour or oat flour one may Lechatchila knead them without water, and perform Hafrashas Challah regularly with a Brocha (provided the other criteria to require a blessing are met). All of this does not necessarily apply to other types of flours, such as: whole wheat, barley, spelt, and rye."
 Can I use Maaser money to pay for a school supplies fee for a 5th and 7th grade girl?,"
Yes. However you should try first with your local shul or community.
If not – it is only considered ma’asros if there’s no other option available at all that day which would allow her to go out on Shabbos without any concern of using up an entire week in one shot due possibly being unable going back home after davening mincha Friday afternoon because she has such big assignments over night then must return Sunday morning as well before they start their work etc… So even","Are you referring to parents or teachers using Maaser for this?
For teachers: If these supplies are used to enhance the children’s Yiddishe Chinuch (and not to ease the teaching experience of the teacher, or to improve their standing with the parents and/or administration), teachers may use Maaser to buy it for their students.
For parents: they may use Maaser to pay for the supply fee for boys who are six and up."
 What are the proper Brachos before and after eating a cereal made with corn flour and whole grain oat flour?,"
The bracha is Shehakiyim.
Before: Yishtabakh. It should be said when you start putting it in your mouth or take out of container – not while holding spoon over bowl as this would only apply if there’s another food on top which needs an aliyah shehiyah for both foods together that were put into one dish at same time; but here each piece has its own individual serving area/plate).
After – Al Ha’minyan
If served","The Bracha reshona is Mezonos.
Regarding the Bracha achrona, it depends on the ratio of oat flour and corn flour. If there is over 1/6, approx. 17% of oat flour, the bracha achrona is al hamichya.
If there is less than 1/6 of oat flour, you should eat something which the bracha Achrona is definitely Al Hamichya and something in which the bracha achrona is boreh nefoshos."
 Can the Baal Tokea make Shehecheyanu on a new pair of Tzitzis?,"
Yes. The same applies for all other Shabbos items.
Source: See שו”ת יחיה ליום השבה אגרא ממענדל ב’ –  Hebrew. Also see here.
See also this article about when one can say shechechiyanhu and what should be said instead if it is not applicable in every case
Other articles that may interest you from our website include How much time does someone have before","Yes, a Baal Tokea may rely on a new pair of Tzitzis to fulfill the custom of wearing a new garment by Tekias Shofar on the second day of Rosh Hashanah."
" Can we buy an old Kloister building and transform it to a Shul?
There is a Kloisterthat has been closed for many years, They put it on the market now for a developer to buy it.
I’d like to buy the building for our shul, Hebrew school etc. amongst other activities of the Chabad House, but until the sale goes through I’d like to lease it from them.
If I know that the money will be going to their social work and not to the Kloister itself and I know that it lichore will never be a kloister again (either I’ll buy it or a developer will) can I lease it from them? Kamovan with taking down any זכר of Avoda Zara.","
You may only do so if you have permission in writing by both parties as well some sort of guarantee they won’t make use out this place ever under no circumstances at all even after selling its ownership
The fact there’s already written approval doesn't mean much because these matters need very careful consideration before making such decisions – especially when considering buying something where people were involved previously who made avodah zarah over time- 
Also consider your own personal responsibility regarding what happens here afterwards… Many times things","
You should not lease it."
" Can I invite someone who is in the process of converting over for a Yom-Tov meal?
There is a fine young man in our community in the process of converting. He’s so frum and aidel. Wakes up early, studies many hours of Torah per day, davens with Minyan 3 times a day, and keeps many halachic chumras.
If I see him in shul on yomtov, may I invite him over for a meal?
On one hand… We are forbidden to cook for a non-Jew.
On the other hand… If he’s not invited to learn about the chagim and experience the meals (in a sukkah), how can he properly convert?
Would it make a difference (or is it better) if I invite him without telling my wife after she already cooked the food?
Is it true the Rebbe said that there is a mitzvah of Ahavas Yisroel to ger in the process of converting? If so.. How can we ignore him?
Thank you","
You should be able too have guests like this from your own neighborhood – even though they’re “non-jews” at present time because as long they go through conversion proper under Rabbinical supervision then their status will change afterwards
They shouldn’t eat any meat or fish while still being an outsider but eggs could work out well since its permitted them anyway when coming into Jewish fold later down line once converted etc..
However no matter what: They mustn`t take part directly within kosher foods prepared by","
He may be invited, provided that the following conditions are kept:
All food is cooked before Yom Tov;
He is told that one may not cook for a non Jew on Yom Tov;
The food is gifted to him first."
"In the looped instance, are they considered “shortened” the way the beged of a tallis/tallis koton might be when the material is folded?
My understanding is that the right one needs to be longer.","
Yes. You can fold it in such manner.
ראה שו״ע יוריד המחתני ב:ד אבל לש’ מֹ‘ – – –
See also here for more information on this topic
More about folding and cutting tefillin straps see below under related topics at bottom section from which you will find other interesting articles regarding Tzitzes/tefillin etc…., as well many pictures with explanations","
Some people are particular not to put it in the gartel. In Chabad the custom is to have longer retzuos and they are not placed in the gartel, as long as they don’t  touch the floor. But, they should be picked up when we sit if they might touch the floor.
For those who do follow the custom of putting it in the gartel, it is best to put the end of the retzuah under the gartel, even though this isn’t the common custom, or at least put it straight through without turning it over."
